"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-01","2023","01","01","","5.0","","2.7","","3.9","","14.1","","0.0","","","","","","1.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-02","2023","01","02","","5.6","","3.5","","4.6","","13.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-03","2023","01","03","","4.4","","2.8","","3.6","","14.4","","0.0","","","","","","3.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-04","2023","01","04","","4.4","","2.5","","3.5","","14.5","","0.0","","","","","","21.1","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-05","2023","01","05","","4.8","","3.2","","4.0","","14.0","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-06","2023","01","06","","5.1","","2.9","","4.0","","14.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-07","2023","01","07","","3.2","","-4.1","","-0.5","","18.5","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-08","2023","01","08","","-1.5","","-4.8","","-3.1","","21.1","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-09","2023","01","09","","2.2","","-1.7","","0.3","","17.7","","0.0","","","","","","0.1","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-10","2023","01","10","","1.7","","-1.8","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-11","2023","01","11","","1.9","","-4.8","","-1.5","","19.5","","0.0","","","","","","0.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-12","2023","01","12","","4.9","","-0.1","","2.4","","15.6","","0.0","","","","","","6.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2023-01-13","2023","01","13","","-0.1","","-8.8","","-4.5","","22.5","","0.0","","","","","","2.5","","4","","","M","","M"
